Data Through Date,Project ID,Interconnection Date,Utility,City/Town,County,ZIP Code,Division,Substation,Circuit ID,Storage Type,Developer,Metering Method,Energy Storage System Size (kWac),Georeference
12/31/2023,186117,12/31/2020,National Grid,PATTERSONVILLE,Schenectady,12137,032 - Schenectady,ROTTERDAM 138,36_32_13853,Battery,"Theresa Baker (Distributed Solar Development, LLC)",CDG,2500,POINT (-74.1391242 42.8267127)
12/31/2023,DGINT-11547,07/21/2022,O&R,HIGHLAND MILLS,Orange,10930,Central,Monroe,61-3-13,Battery,Sunrun Inc,NM,10,POINT (-74.1278091 41.3517762)
12/31/2023,PAM-2021-96030,08/12/2021,PSEGLI,LEVITTOWN,Nassau,11756,,,5M106,Battery,"EmPower CES, LLC",NM,5,POINT (-73.51867 40.72191)
12/31/2023,PAM-2022-217847,08/08/2022,PSEGLI,BALDWIN,Nassau,11510,,,4M164,Battery,"EmPower CES, LLC",NM,5,POINT (-73.610365 40.65627)
12/31/2023,PAM-2020-83847,04/14/2021,PSEGLI,Hewlett,Nassau,11557,,,2R437,Battery,surf clean energy,NM,3.4,POINT (-73.70082 40.64047)
12/31/2023,PAM-2020-84989,04/30/2021,PSEGLI,HAMPT BAYS,Suffolk,11946,,,9J957,Battery,Green Logic,NM,10,POINT (-72.53217 40.87136)
12/31/2023,DGINT-12820,02/20/2023,O&R,WARWICK,Orange,10990,Central,Wisner,80-3-13,Battery,Sunrun Inc,NM,12,POINT (-74.358345 41.25477)
12/31/2023,PAM-2021-145486,12/21/2021,PSEGLI,ALBERTSON,Nassau,11507,,,3LG313,Battery,"Tesla, Inc.",NM,10,POINT (-73.6494201 40.7707257)
12/31/2023,PAM-2021-167205,03/03/2022,PSEGLI,O BETHPAGE,Nassau,11804,,,5SK061,Battery,"Tesla, Inc.",NM,5,POINT (-73.45777 40.764335)
12/31/2023,SDG-46291,03/28/2023,Con Ed,Scarsdale,Westchester,10583,CENY-W,White_Plains,84U3,Battery,Trinity Solar,NM,5,POINT (-73.80484 40.98258)
12/31/2023,PAM-2020-85182,04/02/2021,PSEGLI,Port Washington,Nassau,11050,,,4X6P2,Battery,TESLA,NM,10,POINT (-73.690145 40.828695)
12/31/2023,DGINT-08297,04/26/2019,O&R,CHESTER,Orange,10918,Central,Chester,63-2-13,Battery,SolarCity,NM,10,POINT (-74.27481 41.357035)
12/31/2023,367035,07/28/2021,National Grid,GRAND ISLAND,Erie,14072,003 - Niagara Falls,GRAND ISLAND 64,36_03_6452,Battery,Kyle Wojewoda (Buffalo Solar Solutions),NM,7.6,POINT (-78.96574 43.02151)
12/31/2023,21336,05/05/2023,NYSEG,Hamden,Delaware,13782,Oneonta,NYS-DELHI 211,2307211,Battery,SunCommon,NM,5,POINT (-74.9898803 42.1107117)
12/31/2023,246040,08/26/2019,National Grid,GREENWICH,Washington,12834,039 - Saratoga,BATTENKILL 342,36_39_34257,Battery,"Jillian LeFevre (Kasselman Solar, LLC)",NM,7.6,POINT (-73.50078 43.091155)
